ac_num,active,vehicle_type,active_drvr,drvr_notonride,drvr_onride
9,True,Auto,3,3,0
9,True,Bike,1,1,0
9,True,Cab,5,5,0
10,True,Auto,4,4,0
10,True,Cab,5,5,0
11,True,Auto,2,2,0
12,True,Cab,2,2,0
13,True,Auto,5,5,0
13,True,Cab,3,3,0
14,True,Auto,6,6,0
14,True,Bike,1,1,0
14,True,Cab,6,6,0
15,True,Auto,8,8,0
15,True,Cab,4,4,0
16,True,Auto,1,1,0
16,True,Cab,1,1,0
17,True,Auto,1,1,0
17,True,Cab,1,1,0
18,True,Auto,3,3,0
18,True,Cab,3,3,0
57,True,Auto,3,3,0
57,True,Cab,7,7,0
79,True,Auto,1,1,0
79,True,Bike,1,1,0
79,True,Cab,9,9,0
82,True,Auto,17,17,0
82,True,Cab,18,18,0
83,True,Auto,9,9,0
83,True,Cab,12,12,0
86,True,Auto,8,8,0
86,True,Cab,13,13,0
87,True,Auto,12,12,0
87,True,Cab,13,13,0
88,True,Auto,13,13,0
88,True,Cab,37,37,0
89,True,Auto,2,2,0
89,True,Cab,9,9,0
103,True,Auto,7,7,0
103,True,Cab,8,8,0
104,True,Auto,2,2,0
105,True,Cab,1,1,0
106,True,Auto,1,1,0
106,True,Cab,3,3,0
107,True,Auto,2,2,0
107,True,Cab,2,2,0
108,True,Auto,2,2,0
108,True,Bike,1,1,0
108,True,Cab,10,10,0
ca_0,True,Auto,37,37,0
ca_0,True,Bike,2,2,0
ca_0,True,Cab,35,35,0
