ac_num,bkng_cancel_rate,cancellation_percentage,risk_level,reliable,avg_fare,avg_dist_pr_trip,done_ride,drvr_cancel,rider_cancel,cnvr_rate
9,0.5868,58.68,Medium,Yes,193.5512,9.5321,9520,5256,8065,0.0425
10,0.5641,56.41,Medium,Yes,201.7706,10.4657,5977,3035,4561,0.0495
11,0.5429,54.29,Medium,Yes,213.7703,11.5943,3252,1496,2307,0.0513
12,0.5973,59.73,Medium,Yes,167.8208,8.7524,2851,1663,2504,0.0431
13,0.5807,58.07,Medium,Yes,145.7938,7.2087,2270,1333,1768,0.0399
14,0.6299,62.99,High,Yes,146.6718,7.3621,1289,841,1327,0.032
15,0.8421,84.21,Unreliable,No,93.6667,2.2453,3,4,12,0.0005
16,0.614,61.4,High,Yes,180.5565,9.4419,1274,820,1182,0.028
17,0.5895,58.95,Medium,Yes,160.5126,8.1046,3424,1990,2838,0.042
18,0.5421,54.21,Medium,Yes,164.9289,8.6018,1997,952,1375,0.0455
57,0.5545,55.45,Medium,Yes,240.419,12.4256,1308,542,1057,0.0199
79,0.5667,56.67,Medium,Yes,187.3994,9.8286,3090,1496,2480,0.028
82,0.5567,55.67,Medium,Yes,362.7711,14.3403,4448,1630,3876,0.0498
83,0.5629,56.29,Medium,Yes,208.478,11.1151,5115,2721,3796,0.0361
86,0.588,58.8,Medium,Yes,233.5556,12.298,3713,2000,3238,0.0201
87,0.5989,59.89,Medium,Yes,241.0127,12.3987,4819,2433,4681,0.0275
88,0.5763,57.63,Medium,Yes,192.2535,9.2333,36112,18454,30161,0.0374
89,0.5526,55.26,Medium,Yes,177.3856,9.4427,3558,1654,2684,0.032
103,0.5589,55.89,Medium,Yes,148.507,7.635,4706,2149,3736,0.0431
104,0.6237,62.37,High,Yes,184.6439,9.7199,2272,1472,2229,0.0435
105,0.6022,60.22,High,Yes,153.7654,7.6511,1036,670,864,0.0327
106,0.5531,55.31,Medium,Yes,168.8701,9.0738,1316,712,897,0.038
107,0.5835,58.35,Medium,Yes,190.7501,9.5513,4529,2485,3763,0.0344
108,0.559,55.9,Medium,Yes,196.0804,10.198,3866,2088,2713,0.0467
unknown,0.5524,55.24,Medium,Yes,221.5669,11.8466,4041,1680,3256,0.0243
